name,mu,rho,Ea,B,k_photo,yield_lo,yield_hi,quan_eff
Adenine,0.13513,1470,5902,8.15,0,0.005,0.18,0.0925
Guanine,0.15113,2200,6330,9.4,0,6.7e-05,0.2,0.0925
Uracil,0.1120868,1320,7649,11.76,0,1.7e-05,0.018,0.0925
Cytosine,0.1111,1550,5620,8.69,0,0.036,0.036,0.0925
Thymine,0.1261133,1230,7709,11.24,0,0.012,0.012,0.0925
2-Amino-oxazole,0.084077,1200,5902,8.15,0,0.0011,0.0011,0.0925
Ribose,0.15013,800,5902,8.15,0,0.00036,0.00036,0.0925
Formaldehyde,0.030031,815,5902,8.15,0,0,0,0.0925
Xanthine,0.15211,1600,6230,9.42,0,0,0,0.0925
Hypoxanthine,0.1361115,2000,5270,7.95,0,0,0,0.0925
HCN,0.0270253,687,5902,8.15,0,1,1,0.0925
H2CO,0.030031,815,5902,8.15,0,0,0,0.0925
Urea,0.06006,1335,9640,12.1,0.063,0.05,0.16,0.54
