Wavelength (nm),Extinction coefficient
181.553,nan
181.63,nan
181.706,nan
181.782,nan
181.859,nan
181.935,nan
182.011,nan
182.088,nan
182.164,nan
182.24,nan
182.317,nan
182.393,nan
182.469,nan
182.546,nan
182.622,nan
182.698,nan
182.775,nan
182.851,nan
182.927,nan
183.003,nan
183.08,nan
183.156,nan
183.232,nan
183.308,nan
183.385,nan
183.461,nan
183.537,nan
183.613,nan
183.69,nan
183.766,nan
183.842,nan
183.918,nan
183.995,nan
184.071,nan
184.147,nan
184.223,nan
184.299,nan
184.375,nan
184.452,nan
184.528,nan
184.604,nan
184.68,nan
184.756,nan
184.832,nan
184.908,nan
184.985,nan
185.061,nan
185.137,nan
185.213,nan
185.289,nan
185.365,nan
185.441,nan
185.517,nan
185.593,nan
185.669,nan
185.745,nan
185.822,nan
185.898,nan
185.974,nan
186.05,nan
186.126,-0.2854239210697948
186.202,-0.28417416703833903
186.278,-0.2796302368104378
186.354,-0.28093580777000815
186.43,-0.28597519914038716
186.506,-0.2903456520142322
186.582,-0.29125041673258223
186.658,-0.29270988588525554
186.734,nan
186.81,nan
186.886,nan
186.962,nan
187.038,nan
187.114,nan
187.19,nan
187.266,nan
187.341,nan
187.417,nan
187.493,nan
187.569,nan
187.645,nan
187.721,nan
187.797,nan
187.873,nan
187.949,nan
188.025,nan
188.101,nan
188.176,nan
188.252,nan
188.328,nan
188.404,nan
188.48,nan
188.556,nan
188.632,nan
188.707,nan
188.783,nan
188.859,nan
188.935,nan
189.011,nan
189.086,nan
189.162,nan
189.238,nan
189.314,nan
189.39,nan
189.465,nan
189.541,nan
189.617,nan
189.693,nan
189.768,nan
189.844,nan
189.92,nan
189.996,nan
190.071,nan
190.147,nan
190.223,nan
190.298,nan
190.374,nan
190.45,nan
190.526,nan
190.601,nan
190.677,nan
190.753,nan
190.828,nan
190.904,nan
190.98,nan
191.055,nan
191.131,nan
191.207,nan
191.282,nan
191.358,nan
191.433,nan
191.509,nan
191.585,nan
191.66,nan
191.736,nan
191.811,nan
191.887,nan
191.963,nan
192.038,nan
192.114,nan
192.189,nan
192.265,nan
192.34,nan
192.416,nan
192.491,nan
192.567,nan
192.642,nan
192.718,nan
192.793,nan
192.869,nan
192.944,nan
193.02,nan
193.095,nan
193.171,nan
193.246,nan
193.322,nan
193.397,nan
193.473,nan
193.548,-0.33209618936792334
193.624,-0.32882744885113857
193.699,-0.32475791686352967
193.775,-0.3186195411236422
193.85,-0.31308918376559874
193.925,nan
194.001,nan
194.076,nan
194.152,nan
194.227,nan
194.302,nan
194.378,nan
194.453,nan
194.529,nan
194.604,nan
194.679,nan
194.755,nan
194.83,nan
194.905,nan
194.981,nan
195.056,nan
195.131,nan
195.207,nan
195.282,nan
195.357,nan
195.433,nan
195.508,-0.2985833999659154
195.583,-0.3065117394248537
195.659,-0.3121462425659321
195.734,-0.31688350697241713
195.809,-0.3229223873627455
195.884,-0.32617528046831934
195.96,-0.3307955296197151
196.035,-0.3349479864493245
196.11,-0.33621826515887965
196.185,-0.33442375204046854
196.261,-0.3306025559235489
196.336,-0.3254085014257573
196.411,-0.3203303428576752
196.486,-0.31338841142810897
196.561,-0.3077561703195043
196.637,-0.2998855583769557
196.712,-0.29806564474128544
196.787,-0.297801276675598
196.862,-0.29749467425078696
196.937,-0.2960878176290262
197.013,-0.2979476936860211
197.088,-0.29912496390300447
197.163,nan
197.238,nan
197.313,nan
197.388,nan
197.464,nan
197.539,nan
197.614,nan
197.689,nan
197.764,nan
197.839,nan
197.914,nan
197.989,nan
198.065,nan
198.14,nan
198.215,nan
198.29,nan
198.365,nan
198.44,nan
198.515,nan
198.59,nan
198.665,nan
198.74,nan
198.815,nan
198.89,nan
198.965,nan
199.04,nan
199.115,nan
199.19,nan
199.265,nan
199.34,nan
199.415,nan
199.49,nan
199.565,nan
199.64,nan
199.715,nan
199.79,nan
199.865,nan
199.94,nan
200.015,nan
200.09,nan
200.165,nan
200.24,nan
200.315,nan
200.39,nan
200.464,nan
200.539,nan
200.614,nan
200.689,nan
200.764,nan
200.839,nan
200.914,nan
200.989,nan
201.063,nan
201.138,nan
201.213,nan
201.288,nan
201.363,nan
201.438,nan
201.512,nan
201.587,nan
201.662,nan
201.737,-0.2267366795314691
201.812,-0.22089105335896883
201.886,-0.21590449201648496
201.961,-0.21076465326875152
202.036,-0.20445418344198796
202.111,-0.19820915064217118
202.186,-0.19302334309851704
202.26,-0.1879321617655222
202.335,-0.18367259847100423
202.41,-0.18164160692194592
202.485,-0.17797206448375136
202.559,-0.17335206919302715
202.634,-0.1685545493759549
202.709,-0.16183633888671065
202.784,-0.15347655335678625
202.858,nan
202.933,nan
203.008,nan
203.082,nan
203.157,nan
203.232,nan
203.306,nan
203.381,nan
203.456,nan
203.53,nan
203.605,nan
203.68,nan
203.754,nan
203.829,nan
203.904,nan
203.978,nan
204.053,nan
204.127,nan
204.202,nan
204.277,nan
204.351,nan
204.426,0.18984763868223412
204.5,0.20535366104694372
204.575,0.22019125344895493
204.65,0.23474389572029714
204.724,0.2494036166796992
204.799,0.2635838677935697
204.873,0.2781100830639759
204.948,0.29229141307960527
205.022,0.3057620966329539
205.097,0.31853188785972003
205.171,0.33025555838387727
205.246,0.3419233116175377
205.32,0.35317679469621527
205.395,0.3641464930742297
205.469,0.3751073310026537
205.544,0.3858623195531138
205.618,0.39638341753128936
205.693,0.4067426549293719
205.767,0.41723151961939353
205.842,0.42772572291109756
205.916,0.4382619103295992
205.991,0.44865955788103956
206.065,0.4591250308304129
206.14,0.4694709918025057
206.214,0.4798310130594471
206.289,0.49066313767559555
206.363,0.50183719447605
206.438,0.5130251730978059
206.512,0.5242996116026943
206.586,0.5353937908736468
206.661,0.5461604954276097
206.735,0.5575351939747829
206.81,0.5692801827880657
206.884,0.5812686537657383
206.958,0.594222989460656
207.033,0.607170341269807
207.107,0.6200807933464326
207.181,0.6326824698928014
207.256,0.6460054625434766
207.33,0.6596740887374423
207.405,0.674451742566211
207.479,0.6887479931355175
207.553,0.7038912771661746
207.628,0.7191675033900852
207.702,0.7347500584725637
207.776,0.7505818177950982
207.851,0.7657053316145125
207.925,0.7803153529823237
207.999,0.7939529007818178
208.073,0.8072745601481099
208.148,0.8214949098676203
208.222,0.8359842935689359
208.296,0.8495623475464013
208.371,0.8618731577479706
208.445,0.873618790071939
208.519,0.8846028800532217
208.593,0.8948922518544886
208.668,0.9048866860591384
208.742,0.9149615975020492
208.816,0.9247808163169072
208.89,0.9346219139066512
208.965,0.9429484631537501
209.039,0.9519889270882731
209.113,0.9598913011684551
209.187,0.9675874547013639
209.261,0.9745687384635222
209.336,0.9812806176427095
209.41,0.9888486253688307
209.484,0.9966134501180329
209.558,1.0060281827454287
209.632,1.0161883899976147
209.707,1.0251063275880832
209.781,1.032998929249242
209.855,1.0409828346855008
209.929,1.0493099064473284
210.003,1.0571220550348401
210.077,1.0637942083781127
210.151,1.0700282054526538
210.226,1.0753728888910847
210.3,1.0804569917474742
210.374,1.0848557317359941
210.448,1.0880413209347388
210.522,1.0906136011364196
210.596,1.092242750602126
210.67,1.0932636361195234
210.744,1.0933889087642963
210.818,1.0936761256096694
210.892,1.0940604390785962
210.966,1.0939064235856073
211.041,1.0936855724527288
211.115,1.0923449393918399
211.189,1.0902178326105627
211.263,1.0877655527819208
211.337,1.0853121881801366
211.411,1.0813734420848116
211.485,1.076495588301358
211.559,1.071264825656426
211.633,1.0656845413224698
211.707,1.0593462876379471
211.781,1.0529522771281794
211.855,1.045592848397176
211.929,1.037321439447665
212.003,1.028685668319634
212.077,1.0196731843836389
212.151,1.0096333877590393
212.225,0.9991727186110813
212.299,0.98826746072728
212.373,0.9767296817576052
212.447,0.964569438635244
212.52,0.9518935394326212
212.594,0.9386264693025621
212.668,0.9252495259621916
212.742,0.9113873504767109
212.816,0.897278725644292
212.89,0.8827489789520375
212.964,0.8684332884427365
213.038,0.8541372626605993
213.112,0.8397234077574196
213.186,0.8253693777192422
213.26,0.8112472426171666
213.333,0.797042455044488
213.407,0.7830168582322375
213.481,0.7692783660215822
213.555,0.7556216962179032
213.629,0.7421002343405757
213.703,0.7287968604052486
213.777,0.7155525639215036
213.85,0.7025585007609534
213.924,0.6897437672580898
213.998,0.6770485627064112
214.072,0.6645268881767311
214.146,0.6522666769649098
214.219,0.640172280620863
214.293,0.6283516836527642
214.367,0.6167298778616283
214.441,0.6053239640946891
214.515,0.5941684293930038
214.588,0.5831585512603028
214.662,0.5723508738147087
214.736,0.5617216790248951
214.81,0.5512272537083763
214.883,0.5409416627911074
214.957,0.530834684169006
215.031,0.5209020342502377
215.105,0.5111800782422854
215.178,0.5016643685971403
215.252,0.49235503761846505
215.326,0.4832530320444672
215.4,0.47435511257806595
215.473,0.46563024978550466
215.547,0.4571058556159199
215.621,0.44875650040772824
215.694,0.44059090601488576
215.768,0.4325910246822579
215.842,0.4247508447491756
215.915,0.41708438854830016
215.989,0.40959232378284355
216.063,0.4022339940287803
216.136,0.3950532781294382
216.21,0.3880201149474424
216.284,0.38112495783589606
216.357,0.3743790451291142
216.431,0.3677711602434311
216.504,0.36129317972615327
216.578,0.35495206510451616
216.652,0.3487460146150833
216.725,0.3426557861097636
216.799,0.3366891330699145
216.873,0.330867265221461
216.946,0.3251620563895445
217.02,0.31959176000494766
217.093,0.31414546369904467
217.167,0.3088306223514888
217.24,0.30362801301433845
217.314,0.29854777073466165
217.387,0.29358929831026565
217.461,0.28874375219220416
217.535,0.2840020085047227
217.608,0.2793604030701835
217.682,0.274823316842819
217.755,0.27038377100554944
217.829,0.2660453120164522
217.902,0.261803145291977
217.976,0.257656683950531
218.049,0.2535970475504589
218.123,0.2496288892054578
218.196,0.2457443196615783
218.27,0.24194689228024543
218.343,0.23824359195694053
218.417,0.23461593647723006
218.49,0.23106507569564358
218.563,0.22758553125366543
218.637,0.22418566907944465
218.71,0.2208525346463888
218.784,0.21759141785477057
218.857,0.21439662185420413
218.931,0.2112698373253502
219.004,0.20820333066036378
219.077,0.2051992246458569
219.151,0.20227073710009238
219.224,0.1994000914352976
219.298,0.19659546077904363
219.371,0.1938532695629266
219.444,0.1911668812819139
219.518,0.1885293579439631
219.591,0.1859505915379775
219.665,0.18342815148281813
219.738,0.180956324930715
219.811,0.17854380527481004
219.885,0.1761738746608526
219.958,0.17385208574141778
220.031,0.1715770784916223
220.105,0.16934953169615577
220.178,0.1671657240722103
220.251,0.16503288440731773
220.325,0.1629423798542014
220.398,0.16090051777414563
220.471,0.15889864306910684
220.544,0.1569401789261723
220.618,0.1550298439817402
220.691,0.1531553274225333
220.764,0.1513240306987339
220.838,0.14952487382234328
220.911,0.14775413577898325
220.984,0.1460207474203871
221.057,0.1443244569020933
221.131,0.14266263814864896
221.204,0.14102849585371563
221.277,0.13943007180354708
221.35,0.13785359992544463
221.424,0.13630747802271737
221.497,0.13478651292508578
221.57,0.1332950504003461
221.643,0.13183067874244198
221.716,0.1303963190114086
221.79,0.12898179339975716
221.863,0.12759128546985993
221.936,0.1262254999547927
222.009,0.12488837797770808
222.082,0.12357794610355445
222.155,0.12228891467703913
222.229,0.12102252896172797
222.302,0.11977543210689504
222.375,0.11855015832874186
222.448,0.11735573920845872
222.521,0.11618450255896401
222.594,0.115038804676715
222.667,0.1139171655838648
222.74,0.11282123893528236
222.814,0.11174263786959597
222.887,0.11068972816607518
222.96,0.10965494321016268
223.033,0.10864085980044529
223.106,0.10764433065274105
223.179,0.10666721891058425
223.252,0.10569983095857641
223.325,0.10474993896551157
223.398,0.10381971065550369
223.471,0.1029002507471877
223.544,0.10199214600482356
223.617,0.1010943324788936
223.69,0.10020507386801938
223.763,0.0993267810528426
223.837,0.0984621765737743
223.91,0.09761393892277298
223.983,0.09677725640217243
224.056,0.09595571599367149
224.129,0.09515086184229372
224.202,0.09436154053418777
224.275,0.09358432225077033
224.348,0.0928252908499638
224.42,0.09207565713069871
224.493,0.09134533531558313
224.566,0.09063224507912954
224.639,0.08993114890582868
224.712,0.08924233994826794
224.785,0.08857017654887922
224.858,0.08791278339817425
224.931,0.08726643118113327
225.004,0.0866346780888173
225.077,0.08601242138213397
225.15,0.08540057715777141
225.223,0.08479979845297339
225.296,0.08421306800864409
225.369,0.08363603302195957
225.442,0.08306795082887951
225.514,0.0825099104333085
225.587,0.08196068144825772
225.66,0.08141330347418187
225.733,0.08086703980312576
225.806,0.08032986176045158
225.879,0.07979880307181031
225.952,0.0792783687667629
226.025,0.0787588456049065
226.097,0.07824097060694755
226.17,0.07773317462618412
226.243,0.07722881801655365
226.316,0.0767301091524673
226.389,0.07623389533637123
226.461,0.07574051255699371
226.534,0.07524914032518908
226.607,0.07476337939038193
226.68,0.07428437355692566
226.753,0.07381426891915124
226.825,0.07334600433676056
226.898,0.0728842948471647
226.971,0.07242681879852896
227.044,0.07197376999442857
227.117,0.07152121731651263
227.189,0.07107643819796648
227.262,0.07064371149184151
227.335,0.07021502018377247
227.407,0.06978725042646809
227.48,0.06936102563005768
227.553,0.06894040585402515
227.626,0.06852701716997699
227.698,0.0681145151716887
227.771,0.06771170898282851
227.844,0.06731263147183232
227.916,0.06692108737651827
227.989,0.06653670520200977
228.062,0.06615743014647661
228.134,0.06578169314478852
228.207,0.06540715408779857
228.28,0.06503364967147367
228.352,0.06466399670302506
228.425,0.06429332304902875
228.498,0.06392788535517031
228.57,0.06356439850041185
228.643,0.06320652734932916
228.716,0.06284868631183724
228.788,0.062488281755911354
228.861,0.06212752593907109
228.934,0.06176925840146987
229.006,0.06141486898763948
229.079,0.06106982052022638
229.151,0.060727431787649756
229.224,0.060392623817472804
229.296,0.06006015439446631
229.369,0.059732360305595235
229.442,0.059404172021054184
229.514,0.059075286498432536
229.587,0.05874746441736156
229.659,0.05842368015175031
229.732,0.058105808831757325
229.804,0.05779029709271532
229.877,0.05747969736006207
229.949,0.057175429292877236
230.022,0.056870793416072284
230.094,0.056564070613494756
230.167,0.05625392834628302
230.239,0.05594875674298398
230.312,0.05564304840747763
230.384,0.0553396210631234
230.457,0.05504145800764781
230.529,0.054749027610159456
230.602,0.05445209066309255
230.674,0.05415970928585794
230.747,0.05386588888707633
230.819,0.05356857942343754
230.892,0.05327136071612875
230.964,0.0529788274489705
231.037,0.05269050981060858
231.109,0.052409081217243705
231.181,0.05212966569194436
231.254,0.051854020948042104
231.326,0.051583061826261205
231.399,0.051313241503088254
231.471,0.05104311168639591
231.544,0.050772175236797834
231.616,0.05050584734921079
231.688,0.05024563440817334
231.761,0.04998305317892021
231.833,0.04972636442822515
231.905,0.04947032390134499
231.978,0.04921352870825745
232.05,0.04895138542574029
232.122,0.048688402688357516
232.195,0.04841904191618282
232.267,0.04814778627002451
232.339,0.04788437205337179
232.412,0.04761940149238063
232.484,0.047351088816831394
232.556,0.047082175417372606
232.629,0.04681107089374061
232.701,0.04654397888103814
232.773,0.04627610670138541
232.846,0.046010076711258494
232.918,0.045745378345531426
232.99,0.045482782707773686
233.062,0.04522432493879056
233.135,0.04496920285014543
233.207,0.04471767344535974
233.279,0.04447031998190654
233.351,0.04422239068052746
233.424,0.04397817632290948
233.496,0.04373474592873963
233.568,0.043493404446370454
233.64,0.04325597842724636
233.713,0.04302299732671345
233.785,0.04279638016381159
233.857,0.04256241962632863
233.929,0.04232880369630982
234.001,0.04210132845087289
